Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Latitude,Longitude,ZIP Code
4877,SCODOUSF,SCOTT AVE & DOUGLAS AVE SB,False,False,20,SCOTT,36.191031,-86.733406,37206
174,MXIFULTN,FULTON STATION INBOUND,False,False,"15,52,55",MURFREESBORO PIKE,36.153204,-86.769479,37202
1757,OPROPRNF,OPRY MILLS SERVICE COURT 6,False,False,34,OPRY MILLS,36.204342,-86.693747,37216
4976,31ALONSN,31ST AVE N & LONG BLVD SB,False,False,21,UNIVERSITY CONNECTOR,36.146548,-86.816414,37203
3893,PICBLUWF,PICCADILLY ROW & BLUE MOUNTIAN LN W,False,False,38,ANTIOCH EXPRESS,36.083986,-86.656587,37013
925,GALDOZNN,GALLATIN PIKE & DOZIER AVE NB,False,True,26,GALLATIN PIKE,36.201718,-86.739329,37216
1760,OSA25AWN,OSAGE ST & 25TH AVE N WB,False,False,42,ST. CECILIA - CUMBERLAND,36.176372,-86.816158,37208
1046,GREVANEN,GREAT CIRCLE RD & VANTAGE WAY EB,False,False,9,METROCENTER,36.193178,-86.791158,37228
1633,NXOFRGND,FAIRGROUNDS STATION OUTBOUND,False,True,52,NOLENSVILLE PK BRT LITE,36.135034,-86.759818,37210
4988,DICNESNN,DICKERSON PIKE & NESBITT DR NB,False,False,43,HICKORY HILLS,36.276458,-86.751752,37207
5214,MCGGLEEN,MCGAVOCK PIKE & GLENMEADE DR EB,False,False,20,SCOTT,36.203953,-86.726855,37216
4920,TEN50AWN,TENNESSEE AVE & 50TH AVE WB,False,False,19,HERMAN,36.161028,-86.847693,37209
4558,GXOEASTF,EASTLAND STATION OUTBOUND,True,False,"26,56",GALLATIN PIKE,36.183987,-86.748178,37206
1432,MCFSHANN,MCFERRIN AVE & SHARPE AVE NB,False,False,30,McFERRIN,36.188234,-86.754213,37206
4415,MCC4_13,MUSIC CITY CENTRAL 4TH - BAY 13,True,False,"1,18,24,33,43,50,99",100 OAKS,36.16642,-86.781199,37219
1589,NEIMARSF,NEIL AVE & MARINA ST SB,False,False,30,McFERRIN,36.180191,-86.760141,37206
2732,WALWILEF,WALLACE RD & WILLARD DR EB,False,False,52,NOLENSVILLE PK BRT LITE,36.079914,-86.703587,37211
